Training Data Count,Testing Data Count,Training Time,Covalidation Testing Time,Kernel,gamma,C,Prediction Time,Prediction Accuracy,Time Stamp,
419,11120,35.914,0.022,linear,N/A,3,0.411,87.6528776978,,
419,11120,41.365,0.019,linear,N/A,3,0.394,87.6708633094,,
419,11120,49.857,0.015,linear,N/A,3,0.355,88.0935251799,,
419,11120,77.474,0.357,gaussian,3,10,0.308,60.8723021583,,
419,11120,114.243,0.406,gaussian,3,10,0.386,60.8723021583,,
419,11120,111.639,0.475,gaussian,3,10,0.41,60.8723021583,,
419,11120,113.231,0.418,gaussian,3,10,0.365,60.8723021583,,
419,11120,132.368,0.442,gaussian,3,10,0.36,60.8723021583,,
419,11120,66.601,0.325,gaussian,3,10,0.281,60.8723021583,,
419,11120,69.313,0.376,gaussian,3,10,0.306,60.8723021583,,
419,11120,77.512,0.38,gaussian,3,10,0.326,60.8723021583,Fri Apr 06 11:21:37 EDT 2018,
419,11120,144.796,0.471,gaussian,3,10,0.418,60.8723021583,Fri Apr 06 11:32:22 EDT 2018,
419,11120,9.538,0.458,gaussian,1,1,0.407,60.8723021583,Fri Apr 06 11:44:54 EDT 2018,
419,11120,8.107,0.479,gaussian,1,1,0.407,60.8723021583,Fri Apr 06 11:45:03 EDT 2018,
419,11120,6.393,0.374,gaussian,1,1,0.314,60.8723021583,Fri Apr 06 12:04:05 EDT 2018,
419,11120,8.319,0.384,gaussian,1,1,0.305,60.8723021583,Fri Apr 06 12:04:14 EDT 2018,
419,11120,18.438,0.469,gaussian,1,1,0.391,60.8723021583,Fri Apr 06 12:04:34 EDT 2018,
419,11120,7.603,0.483,gaussian,1,1,0.444,60.8723021583,Fri Apr 06 12:11:26 EDT 2018,
419,11120,10.345,0.377,gaussian,1,1,0.285,60.8723021583,Fri Apr 06 12:11:37 EDT 2018,
419,11120,8.662,0.339,gaussian,1,1,0.288,60.8723021583,Fri Apr 06 12:11:47 EDT 2018,
419,11120,2.64,0.388,gaussian,0.1,1,0.312,60.8723021583,Fri Apr 06 12:15:46 EDT 2018,
419,11120,2.52,0.349,gaussian,0.1,1,0.313,60.8723021583,Fri Apr 06 12:15:50 EDT 2018,
419,11120,2.531,0.371,gaussian,0.1,1,0.309,60.8723021583,Fri Apr 06 12:15:53 EDT 2018,
419,11120,2.545,0.389,gaussian,0.2,1,0.361,60.8723021583,Fri Apr 06 12:15:56 EDT 2018,
419,11120,2.726,0.444,gaussian,0.2,1,0.372,60.8723021583,Fri Apr 06 12:16:00 EDT 2018,
419,11120,2.226,0.374,gaussian,0.2,1,0.323,60.8723021583,Fri Apr 06 12:16:03 EDT 2018,
419,11120,3.116,0.368,gaussian,0.1,2,0.322,60.8723021583,Fri Apr 06 12:16:07 EDT 2018,
419,11120,2.321,0.368,gaussian,0.1,2,0.316,60.8723021583,Fri Apr 06 12:16:10 EDT 2018,
